CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,160,-8,19,-,"2,955.00",-59.55,75,"2,950.00","2,958.35",75,"6,100.00",150,5.40,5.50,225,-4.20,5.40,89.58,"3,076",987,"8,919",
,-,-,-,-,-,-,150,"2,725.45","3,040.50",75,"6,150.00",150,6.05,7.00,75,-3.60,6.45,87.79,13,2,59,
,6,-,-,-,-,-,75,"2,677.35","2,985.45",75,"6,200.00",150,7.05,7.25,150,-3.10,7.10,86.91,326,8,679,
,-,-,-,-,-,-,"9,900","1,850.60","2,997.80","9,900","6,250.00",150,6.05,14.75,150,-2.80,4.80,-,2,-,24,
,1,-,-,-,-,-,75,"2,645.25","2,835.70",150,"6,300.00",225,7.00,7.35,300,-3.95,7.05,82.59,353,-17,438,
,-,-,-,-,-,-,"9,900","1,750.60","2,879.45","9,900","6,350.00",150,3.05,9.45,150,-,-,-,-,-,-,
,1,-,-,-,-,-,"9,900","1,700.60","2,811.85","9,900","6,400.00",75,7.05,7.35,300,-3.30,7.35,80.38,"1,469",-59,234,
,-,-,-,-,-,-,"9,900","1,650.60","2,775.05","9,900","6,450.00",150,4.05,14.20,150,-,-,-,-,-,-,
,877,-70,162,-,"2,555.00",111.00,300,"2,541.60","2,556.15",75,"6,500.00",225,7.90,8.00,375,-3.80,7.90,77.71,"8,061",-819,"7,345",
,-,-,-,-,-,-,"9,900","1,550.60","2,672.75","9,900","6,550.00",150,6.15,10.00,75,-13.05,11.95,93.01,3,1,4,
,-,-,-,-,-,-,"9,900","1,500.60","2,594.05","9,900","6,600.00",75,9.00,9.15,75,-5.35,9.10,77.58,440,-12,232,
,-,-,-,-,-,-,"9,900","1,450.60","2,559.90","9,900","6,650.00",150,8.05,20.50,150,-11.70,6.05,70.43,7,-2,16,
,-,-,-,-,-,-,"9,900","2,087.10","2,477.95",375,"6,700.00",525,10.45,10.70,75,-4.75,10.60,74.88,477,60,346,
,1,-,-,-,-,-,75,"2,148.75","2,461.20",75,"6,750.00",150,11.05,11.80,75,-5.05,11.30,75.09,244,-130,563,
,25,-5,13,-,"2,250.00",111.00,75,"2,250.00","2,268.25",75,"6,800.00",375,11.75,12.05,150,-6.50,11.95,73.14,"1,435",-5,"1,740",
,-,-,-,-,-,-,"9,900","1,875.45","2,350.90","9,900","6,850.00",150,3.60,29.95,150,-,-,-,-,-,-,
