,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY.1,BID PRICE.1,ASK PRICE.1,ASK QTY.1,CHNG.1,LTP.1,IV.1,VOLUME.1,CHNG IN OI.1,OI.1
42,526.0,-74.0,186.0,47.22,859.6,-92.5,75.0,853.5,863.05,75.0,8200.0,150.0,135.2,135.9,75.0,-5.5,135.45,58.71,9373.0,-484.0,3091.0
43,10.0,0,0,0,0,0,450.0,701.45,914.25,525.0,8250.0,75.0,137.8,146.65,75.0,-10.25,144.65,58.64,78.0,-6.0,109.0
44,862.0,-25.0,66.0,47.79,798.95,-75.2,75.0,773.45,784.5,75.0,8300.0,300.0,154.55,155.35,75.0,-4.2,154.6,57.16,11051.0,1140.0,4147.0
45,29.0,0,1.0,53.25,915.0,141.9,75.0,693.5,807.4,150.0,8350.0,75.0,156.95,169.3,75.0,-2.5,167.05,56.21,59.0,3.0,82.0
46,952.0,-25.0,118.0,46.75,715.7,-75.45,75.0,696.8,703.8,150.0,8400.0,75.0,177.85,178.7,75.0,-2.75,178.6,56.23,9032.0,478.0,3547.0
47,75.0,0,1.0,64.38,900.0,200.0,75.0,649.75,681.4,75.0,8450.0,75.0,181.8,196.9,75.0,0.6,194.6,55.65,91.0,-3.0,81.0
48,9101.0,-36.0,2453.0,48.12,627.0,-87.15,225.0,623.55,627.5,75.0,8500.0,75.0,204.95,205.7,225.0,-0.05,205.4,55.25,42421.0,1601.0,25103.0
49,46.0,0,2.0,53.47,765.25,78.35,75.0,585.8,605.9,75.0,8550.0,75.0,214.45,224.95,75.0,-5.1,211.85,54.8,101.0,16.0,73.0
50,2280.0,-9.0,222.0,48.42,560.0,-82.35,300.0,553.75,559.0,75.0,8600.0,150.0,233.45,234.55,75.0,2.95,235.0,54.23,8505.0,1855.0,5054.0
51,84.0,0,19.0,62.04,525.0,-91.05,75.0,514.1,532.4,75.0,8650.0,75.0,230.2,254.55,75.0,13.8,258.0,53.33,117.0,10.0,55.0
52,1880.0,-69.0,413.0,46.54,490.0,-83.3,75.0,484.65,488.65,75.0,8700.0,150.0,267.0,267.6,150.0,4.45,267.3,53.03,7902.0,-39.0,4439.0
53,28.0,-1.0,8.0,56.39,446.05,-95.9,1125.0,454.5,461.95,75.0,8750.0,225.0,281.55,288.75,150.0,6.75,285.0,52.68,129.0,-4.0,71.0
54,1912.0,-20.0,1616.0,45.6,423.55,-81.05,75.0,423.0,424.55,75.0,8800.0,75.0,303.65,305.0,300.0,8.1,304.5,52.03,12019.0,968.0,5813.0
55,113.0,6.0,32.0,56.89,400.0,-95.9,75.0,394.55,400.45,1125.0,8850.0,75.0,319.3,324.9,75.0,1.8,315.05,52.16,115.0,10.0,61.0
56,934.0,-44.0,1934.0,45.33,363.25,-82.9,75.0,365.35,366.6,75.0,8900.0,75.0,344.15,345.55,75.0,12.45,345.6,51.05,8895.0,368.0,3231.0
57,86.0,8.0,72.0,44.87,338.75,-77.55,75.0,335.3,339.7,150.0,8950.0,150.0,362.1,366.0,75.0,1.05,354.1,50.76,189.0,-15.0,136.0
58,20486.0,-1102.0,26275.0,43.98,308.8,-73.55,225.0,309.25,310.5,75.0,9000.0,150.0,387.95,389.6,75.0,16.6,389.8,50.15,52511.0,3489.0,26477.0
59,86.0,-13.0,176.0,43.54,292.0,-67.2,75.0,280.85,285.45,75.0,9050.0,150.0,409.95,416.45,75.0,11.95,409.45,50.03,308.0,-2.0,72.0
60,2556.0,249.0,7495.0,43.86,260.9,-69.55,75.0,260.5,261.7,150.0,9100.0,75.0,437.4,439.9,75.0,20.95,440.7,49.91,9338.0,567.0,2312.0
61,110.0,58.0,345.0,43.42,241.35,-62.2,75.0,236.8,240.6,75.0,9150.0,1050.0,463.05,470.5,1125.0,25.5,455.55,49.94,384.0,17.0,51.0
62,4207.0,1328.0,16172.0,43.32,217.45,-64.15,75.0,217.7,218.6,75.0,9200.0,75.0,495.15,497.8,75.0,26.15,497.65,49.28,10822.0,915.0,1956.0
63,111.0,78.0,1274.0,42.97,199.45,-58.95,75.0,197.7,198.65,75.0,9250.0,150.0,520.45,532.65,75.0,39.75,521.75,48.26,497.0,84.0,93.0
64,1954.0,403.0,11530.0,42.68,179.1,-60.95,75.0,179.35,180.4,1275.0,9300.0,1275.0,553.6,557.7,75.0,22.75,548.0,49.03,2856.0,157.0,733.0
65,65.0,55.0,124.0,42.64,169.85,-60.95,75.0,144.2,177.1,75.0,9350.0,75.0,573.95,597.2,4950.0,86.35,637.2,44.73,16.0,1.0,4.0
66,2424.0,303.0,12624.0,42.25,145.85,-54.6,75.0,145.65,146.4,75.0,9400.0,75.0,619.15,623.8,75.0,15.7,602.7,48.22,801.0,119.0,253.0
67,17.0,13.0,113.0,42.02,119.75,-53.65,75.0,123.9,143.75,75.0,9450.0,75.0,644.05,708.7,750.0,-12.45,648.95,44.12,9.0,-1.0,8.0
68,16272.0,819.0,42358.0,41.39,118.25,-48.7,75.0,118.3,118.9,75.0,9500.0,75.0,691.05,694.9,75.0,42.6,693.5,47.67,9939.0,1490.0,11845.0
69,31.0,8.0,129.0,41.4,104.45,-47.45,75.0,82.1,110.95,150.0,9550.0,750.0,573.2,1253.05,9900.0,0,0,0,0,0,5.0
70,2476.0,638.0,10671.0,40.76,94.35,-41.65,150.0,94.4,94.85,75.0,9600.0,75.0,765.25,774.5,75.0,33.45,745.95,46.11,158.0,-16.0,159.0
71,0,0,0,0,0,0,75.0,59.1,91.3,75.0,9650.0,750.0,697.55,967.8,9900.0,0,0,0,0,0,0
72,3030.0,451.0,11888.0,40.08,73.55,-36.8,75.0,73.25,73.8,525.0,9700.0,75.0,840.35,848.0,150.0,79.95,870.0,47.87,648.0,111.0,463.0
73,7.0,7.0,12.0,40.44,64.9,-1483.95,150.0,26.15,72.2,75.0,9750.0,75.0,794.9,969.55,750.0,0,0,0,0,0,0
74,2776.0,626.0,13870.0,39.85,57.25,-31.15,75.0,57.25,57.35,75.0,9800.0,75.0,924.25,932.1,525.0,67.4,932.1,45.88,73.0,-1.0,1022.0
75,0,0,0,0,0,0,150.0,20.15,206.95,9900.0,9850.0,75.0,826.95,1199.8,750.0,0,0,0,0,0,0
76,1819.0,351.0,9969.0,39.7,44.9,-27.7,75.0,44.7,44.95,75.0,9900.0,75.0,1009.85,1020.45,75.0,62.5,997.5,32.02,99.0,-51.0,2118.0
77,14.0,10.0,39.0,39.33,32.65,-38.55,150.0,33.65,43.95,150.0,9950.0,750.0,923.35,1657.55,750.0,0,0,0,0,0,0
78,22435.0,1675.0,51015.0,39.72,36.0,-24.4,75.0,36.0,36.15,150.0,10000.0,75.0,1104.8,1111.4,450.0,65.4,1105.0,48.76,2016.0,-344.0,8493.0
79,40.0,33.0,69.0,40.27,34.75,-11.65,75.0,30.75,41.45,75.0,10050.0,9900.0,960.9,1325.5,9900.0,0,0,0,0,0,2.0
80,1096.0,323.0,5579.0,39.47,28.15,-19.4,75.0,27.8,28.0,75.0,10100.0,75.0,1193.8,1203.35,75.0,97.95,1200.0,0,21.0,-12.0,120.0
81,1.0,0,0,0,0,0,75.0,9.15,75.05,75.0,10150.0,9900.0,917.15,1456.4,9900.0,0,0,0,0,0,44.0
82,1216.0,254.0,6205.0,39.39,21.55,-16.4,150.0,21.2,21.5,75.0,10200.0,75.0,1285.65,1297.0,150.0,54.15,1280.0,41.57,15.0,-6.0,254.0
83,1.0,0,0,0,0,0,75.0,10.3,46.3,75.0,10250.0,9900.0,1130.95,1480.0,9900.0,0,0,0,0,0,0
84,1320.0,721.0,5159.0,39.71,17.1,-13.5,75.0,16.7,16.95,75.0,10300.0,75.0,1379.3,1402.7,75.0,-72.2,1247.8,0,8.0,1.0,198.0
85,0,0,0,0,0,0,75.0,8.0,85.45,150.0,10350.0,9900.0,1263.1,1598.9,9900.0,0,0,0,0,0,0
86,879.0,252.0,4503.0,40.21,14.15,-10.65,75.0,14.0,14.15,150.0,10400.0,75.0,1476.3,1493.45,75.0,143.45,1507.6,0,13.0,-2.0,94.0
87,0,0,0,0,0,0,150.0,5.0,82.25,150.0,10450.0,9900.0,1332.0,1760.1,9900.0,0,0,0,0,0,0
88,10242.0,474.0,15079.0,40.7,11.85,-8.1,300.0,11.75,11.85,150.0,10500.0,150.0,1575.25,1582.75,75.0,84.55,1588.25,54.82,255.0,-131.0,3151.0
89,0,0,0,0,0,0,9975.0,5.0,94.55,9900.0,10550.0,9900.0,1158.65,1891.1,9900.0,0,0,0,0,0,0
90,1187.0,112.0,2927.0,40.79,9.3,-6.3,600.0,9.1,9.35,150.0,10600.0,75.0,1669.7,1693.75,75.0,120.4,1673.7,0,2.0,1.0,327.0
91,0,0,0,0,0,0,19950.0,3.0,84.55,9900.0,10650.0,9900.0,1248.0,2000.65,9900.0,0,0,0,0,0,4.0
92,1185.0,173.0,2249.0,41.71,7.9,-5.55,75.0,7.65,8.05,150.0,10700.0,75.0,1762.85,1788.4,75.0,-121.1,1585.9,60.55,6.0,-1.0,158.0
93,0,0,0,0,0,0,75.0,3.0,74.55,9900.0,10750.0,9900.0,1337.55,2096.75,9900.0,0,0,0,0,0,0
94,1508.0,101.0,2556.0,42.55,7.05,-4.45,75.0,6.75,7.0,150.0,10800.0,75.0,1849.9,1892.05,75.0,168.05,1953.05,0,10.0,-9.0,712.0
95,0,0,0,0,0,0,75.0,2.5,64.55,9900.0,10850.0,9900.0,1426.95,2183.9,9900.0,0,0,0,0,0,0
96,751.0,40.0,1731.0,43.47,6.7,-3.0,150.0,6.15,6.95,150.0,10900.0,75.0,1959.4,1978.45,75.0,-118.05,1755.0,55.46,4.0,0,216.0
97,0,0,0,0,0,0,11475.0,2.0,29.0,750.0,10950.0,9900.0,1516.4,2210.85,9900.0,0,0,0,0,0,0
98,14396.0,531.0,8227.0,44.25,5.25,-3.4,300.0,5.15,5.25,300.0,11000.0,75.0,2063.25,2071.9,75.0,60.4,2039.55,72.22,68.0,-31.0,3638.0
99,0,0,0,0,0,0,9975.0,1.25,38.45,9900.0,11050.0,9900.0,1606.1,2317.45,9900.0,0,0,0,0,0,0
100,785.0,74.0,197.0,46.32,5.1,-3.25,75.0,5.2,5.45,75.0,11100.0,75.0,2154.95,2187.8,75.0,-95.15,1934.85,49.24,1.0,0,237.0
101,0,0,0,0,0,0,19950.0,1.0,34.05,9900.0,11150.0,9900.0,1675.25,2436.35,9900.0,0,0,0,0,0,0
102,1150.0,-2.0,172.0,46.78,4.75,-2.7,1350.0,4.7,5.0,300.0,11200.0,75.0,2268.0,2285.25,75.0,-171.0,2029.0,45.81,29.0,1.0,577.0
103,19.0,0,0,0,0,0,9975.0,1.0,30.1,9900.0,11250.0,9900.0,1764.5,2555.05,9900.0,0,0,0,0,0,1.0
104,668.0,17.0,62.0,48.52,5.0,-2.05,75.0,4.6,5.15,75.0,11300.0,75.0,2337.25,2378.9,75.0,-217.15,2075.0,0,7.0,-7.0,603.0
105,0,0,0,0,0,0,9975.0,1.3,29.25,9900.0,11350.0,9900.0,1853.9,2729.25,9900.0,0,0,0,0,0,0
106,1067.0,8.0,63.0,49.49,4.55,-2.45,75.0,4.5,4.55,75.0,11400.0,75.0,2468.85,2483.8,75.0,-246.7,2166.35,0,11.0,-8.0,470.0
107,0,0,0,0,0,0,9975.0,1.0,28.1,9900.0,11450.0,9900.0,2015.3,2811.5,9900.0,0,0,0,0,0,1.0
108,11450.0,232.0,1296.0,49.13,3.8,-0.8,675.0,3.6,3.7,300.0,11500.0,75.0,2557.7,2574.2,75.0,-171.95,2307.0,0,21.0,-6.0,642.0
109,0,0,0,0,0,0,9975.0,1.0,27.25,9900.0,11550.0,9900.0,2111.2,2920.4,9900.0,0,0,0,0,0,1.0
110,1062.0,74.0,122.0,50.89,4.35,-0.65,75.0,3.95,4.35,300.0,11600.0,75.0,2647.6,2697.55,75.0,-241.1,2390.55,0,7.0,-2.0,159.0
111,0,0,0,0,0,0,9975.0,1.0,27.85,9900.0,11650.0,9900.0,2201.45,3002.85,9900.0,0,0,0,0,0,0
