,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY.1,BID PRICE.1,ASK PRICE.1,ASK QTY.1,CHNG.1,LTP.1,IV.1,VOLUME.1,CHNG IN OI.1,OI.1
0,168.0,3.0,7.0,0,3014.55,86.85,75.0,2838.0,2850.2,75.0,6100.0,75.0,9.65,9.7,75.0,-0.35,9.65,93.79,2553.0,-4.0,7932.0
1,0,0,0,0,0,0,75.0,2633.25,2912.95,75.0,6150.0,75.0,9.25,10.6,75.0,-3.35,8.95,94.21,44.0,11.0,57.0
2,6.0,0,0,0,2350.0,-2350.0,75.0,2574.8,2873.5,75.0,6200.0,225.0,9.7,10.45,75.0,-0.65,10.4,90.62,512.0,3.0,671.0
3,0,0,0,0,0,0,9900.0,2150.4,2922.15,9900.0,6250.0,150.0,7.1,12.25,75.0,-0.25,10.0,88.17,22.0,-4.0,24.0
4,1.0,0,0,0,2716.45,-2716.45,9900.0,2443.75,2783.8,375.0,6300.0,450.0,9.05,12.45,75.0,-0.05,12.5,88.47,764.0,-39.0,455.0
5,0,0,0,0,0,0,9900.0,2050.45,2811.4,9900.0,6350.0,150.0,3.55,36.25,150.0,0,0,0,0,0,0
6,1.0,1.0,1.0,0,2526.55,484.25,75.0,2407.2,2926.75,9900.0,6400.0,75.0,10.05,11.35,150.0,-2.4,11.0,85.61,1141.0,82.0,293.0
7,0,0,0,0,0,0,9900.0,1950.45,2702.3,9900.0,6450.0,150.0,4.05,20.5,150.0,0,0,0,0,0,0
8,947.0,-22.0,35.0,0,2444.0,-58.55,75.0,2440.0,2456.15,75.0,6500.0,75.0,11.65,12.0,75.0,-3.25,11.65,83.28,8574.0,-975.0,8164.0
9,0,0,0,0,0,0,9900.0,1850.45,2601.3,9900.0,6550.0,150.0,8.65,24.95,150.0,-25.0,25.0,0,0,0,3.0
10,0,0,0,0,0,0,75.0,2225.3,2484.25,75.0,6600.0,150.0,13.4,15.0,300.0,-0.9,15.8,83.69,450.0,-65.0,244.0
11,0,0,0,0,0,0,9900.0,1935.1,2494.6,9900.0,6650.0,75.0,12.55,21.1,75.0,-0.25,22.95,81.29,4.0,2.0,18.0
12,0,0,0,0,0,0,75.0,2136.15,2383.7,75.0,6700.0,300.0,12.3,17.45,75.0,-6.65,12.3,81.22,548.0,-189.0,286.0
13,1.0,0,0,0,2150.0,-2150.0,75.0,2110.1,2332.8,75.0,6750.0,75.0,13.6,17.0,75.0,-2.95,17.0,81.45,809.0,-183.0,693.0
14,30.0,-1.0,4.0,106.78,2139.0,-19.1,75.0,2044.45,2265.55,75.0,6800.0,75.0,17.2,20.0,75.0,-3.65,18.6,79.55,2828.0,58.0,1745.0
15,0,0,0,0,0,0,9900.0,1550.45,2272.8,9900.0,6850.0,150.0,8.3,45.45,150.0,0,0,0,0,0,0
16,2.0,0,1.0,0,2045.0,54.35,9900.0,1878.9,2162.55,600.0,6900.0,975.0,19.25,21.45,75.0,-6.65,19.1,77.63,2473.0,63.0,808.0
17,0,0,0,0,1841.25,-1841.25,3075.0,1893.55,2136.75,75.0,6950.0,75.0,20.85,42.1,150.0,-8.3,19.65,77.6,35.0,4.0,53.0
18,8236.0,-31.0,594.0,0,1957.85,-72.8,75.0,1954.15,1967.0,75.0,7000.0,450.0,24.5,24.85,2175.0,-5.45,24.5,76.16,17959.0,-413.0,23826.0
19,0,0,0,0,0,0,9900.0,1350.4,2061.0,9900.0,7050.0,75.0,25.7,34.95,150.0,-0.05,34.95,75.84,34.0,4.0,38.0
20,23.0,1.0,4.0,0,1967.85,103.45,525.0,1711.25,2002.3,600.0,7100.0,150.0,27.2,29.0,75.0,-6.45,27.2,74.5,1945.0,84.0,784.0
21,0,0,0,0,0,0,9900.0,1616.45,1956.85,9900.0,7150.0,150.0,18.0,41.4,75.0,-8.0,32.0,73.7,35.0,3.0,14.0
22,22.0,-1.0,1.0,90.13,2023.75,209.9,75.0,1743.15,1784.95,75.0,7200.0,75.0,30.65,32.0,150.0,-6.65,31.8,72.85,3523.0,466.0,2790.0
23,0,0,0,0,0,0,9900.0,1530.8,1852.85,9900.0,7250.0,75.0,30.0,41.15,150.0,-21.4,12.65,74.1,9.0,0,5.0
24,14.0,0,2.0,106.5,1991.45,251.45,9900.0,1505.45,1797.6,9900.0,7300.0,150.0,32.5,37.45,75.0,-7.55,37.45,71.86,1894.0,-131.0,692.0
25,0,0,0,0,0,0,9900.0,1323.85,1751.7,9900.0,7350.0,150.0,15.05,52.65,150.0,-6.35,52.65,70.26,3.0,1.0,14.0
26,6.0,-3.0,7.0,92.85,1858.5,198.4,75.0,1561.3,1598.65,75.0,7400.0,75.0,40.1,44.4,75.0,-8.35,42.5,70.69,2043.0,74.0,1242.0
27,8.0,0,0,0,1423.9,-1427.5,9900.0,1366.45,1634.55,9900.0,7450.0,150.0,12.2,52.1,150.0,-20.8,45.2,70.77,6.0,-3.0,82.0
28,2846.0,-261.0,452.0,0,1488.0,-67.1,75.0,1483.25,1495.6,75.0,7500.0,150.0,50.0,50.5,75.0,-9.0,49.3,69.07,17161.0,-519.0,24837.0
29,0,0,0,0,0,0,9900.0,1166.95,1548.2,9900.0,7550.0,150.0,37.3,68.95,150.0,-5.3,42.1,64.5,10.0,-2.0,6.0
30,88.0,-42.0,107.0,96.43,1389.95,-64.0,75.0,1382.15,1405.0,75.0,7600.0,75.0,49.45,57.9,75.0,-8.8,57.55,67.72,2552.0,-174.0,1220.0
31,1.0,0,0,0,1413.65,-1413.65,9900.0,1050.9,1459.25,9900.0,7650.0,150.0,16.5,76.55,9900.0,-16.5,59.0,68.91,3.0,0,10.0
32,360.0,-8.0,34.0,54.83,1296.0,-80.0,75.0,1288.9,1321.2,75.0,7700.0,150.0,59.0,65.35,75.0,-10.4,65.4,66.09,2965.0,-59.0,2431.0
33,0,0,0,0,0,0,75.0,1116.7,1305.4,75.0,7750.0,150.0,62.05,81.45,150.0,-0.55,81.45,0,5.0,0,24.0
34,243.0,-4.0,18.0,76.88,1202.05,-86.1,150.0,1194.25,1227.9,75.0,7800.0,1575.0,74.0,74.95,75.0,-11.65,74.0,64.63,3942.0,-26.0,2661.0
35,7.0,0,0,0,1300.0,-1300.0,75.0,1051.2,1294.95,75.0,7850.0,75.0,77.7,91.25,75.0,-6.8,86.35,63.73,49.0,-12.0,29.0
36,147.0,-1.0,30.0,79.11,1136.7,-27.3,75.0,1118.1,1136.75,75.0,7900.0,150.0,83.2,86.0,1500.0,-13.85,84.0,63.12,3901.0,-78.0,1549.0
37,1.0,0,0,0,1145.1,-1145.1,9900.0,916.7,1220.8,10650.0,7950.0,150.0,84.2,92.7,75.0,-15.8,95.6,62.24,21.0,-1.0,59.0
38,7340.0,-169.0,1655.0,48.6,1033.2,-82.35,75.0,1032.75,1036.0,75.0,8000.0,150.0,95.05,97.0,900.0,-14.85,95.0,61.62,42453.0,-965.0,31806.0
39,53.0,-1.0,32.0,80.16,1280.0,225.35,75.0,944.65,1010.35,75.0,8050.0,75.0,75.45,108.55,75.0,-1.45,115.3,59.28,59.0,-13.0,54.0
40,968.0,-9.0,267.0,49.94,953.0,-84.05,75.0,946.1,958.35,75.0,8100.0,75.0,108.0,110.0,75.0,-14.55,109.6,60.09,5855.0,-451.0,7465.0
41,39.0,0,0,0,944.15,-944.15,75.0,872.55,947.05,150.0,8150.0,75.0,92.5,122.7,75.0,-10.95,119.35,58.66,35.0,3.0,54.0
42,595.0,-5.0,275.0,47.22,856.65,-95.45,75.0,860.25,875.2,75.0,8200.0,75.0,122.8,126.3,75.0,-15.95,125.0,58.71,10593.0,-554.0,3021.0
43,10.0,0,0,0,880.0,-880.0,750.0,647.7,908.3,900.0,8250.0,75.0,95.05,140.85,75.0,-20.55,134.35,58.64,89.0,-10.0,105.0
