,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,Profit
0,167.0,2.0,7.0,0,3014.55,86.85,75.0,2806.45,2826.1,75.0,6100.0,30.85000000000082
18,8173.0,-94.0,274.0,0,1941.1,-89.55,75.0,1924.6,1932.55,75.0,7000.0,24.400000000000773
14,30.0,-1.0,3.0,106.78,2139.0,-19.1,75.0,2109.3,2137.0,75.0,6800.0,19.950000000000728
20,23.0,1.0,4.0,0,1967.85,103.45,75.0,1823.25,1838.5,75.0,7100.0,18.450000000000728
8,946.0,-23.0,34.0,0,2444.0,-58.55,75.0,2413.0,2441.3,75.0,6500.0,15.650000000000546
22,23.0,0,1.0,90.13,2023.75,209.9,75.0,1720.05,1744.9,75.0,7200.0,12.050000000000637
24,14.0,0,2.0,106.5,1991.45,251.45,75.0,1629.25,1654.0,75.0,7300.0,2.9500000000007276
